玉藻前	3350	12532	353	110	12	160	0	0
茨木童子	3216	10254	397	112	10	150	0	0
大天狗	3418	10026	419	110	10	165	0	0
荒	3323	10254	490	104	10	150	0	0
花鸟卷	2305	14127	397	112	5	150	0	0
陆生	3028	11393	384	113	10	150	0	50
面灵气	3243	10140	397	119	8	150	0	0
御馔津	3002	12646	450	119	5	150	0	0
彼岸花	3002	11393	388	107	8	150	0	0
酒吞童子	3136	11165	375	113	10	150	0	0
辉夜姬	2332	13785	406	108	5	150	0	0
青行灯	2439	11621	472	119	8	150	0	0
椒图	2305	12304	467	117	5	150	0	0
凤凰火	2680	11393	441	106	10	150	0	0
般若	3136	10596	397	114	10	150	0	0
雨女	2251	12304	476	103	5	150	0	0
桃花	2385	11393	490	100	5	150	0	0
书翁	2680	11393	441	109	8	150	0	0
丑女	1000	1000	1000	117	10	150	0	0
